[builder.pyw:394] - 2023-08-16 21:26:33,783 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-16 21:26:33,785 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-16 21:27:40,536 - INFO - Successfully compiled das.exe with pyinstaller
[builder.pyw:456] - 2023-08-16 21:27:42,350 - INFO - Successfully pumped file: das.exe
[builder.pyw:529] - 2023-08-16 21:27:42,363 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-16 21:27:42,363 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-08-16 21:27:42,363 - INFO - Successfully removed file: ./das.py
[builder.pyw:538] - 2023-08-16 21:27:42,364 - INFO - Successfully removed file: ./das.spec
[builder.pyw:425] - 2023-08-16 21:29:46,712 - INFO - Retrieved filename: FPS UNLOCKER V-5.3
[builder.pyw:394] - 2023-08-16 21:29:46,712 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-16 21:29:46,712 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-16 21:29:46,713 - INFO - Successfully changed config
[builder.pyw:555] - 2023-08-16 21:29:46,793 - ERROR - Error with writing and obfuscating file: [WinError 2] The system cannot find the file specified: './Obfuscated_FPS UNLOCKER V-5.3.py' -> './FPS UNLOCKER V-5.3.py'
[builder.pyw:489] - 2023-08-16 21:29:48,583 - INFO - Successfully compiled FPS UNLOCKER V-5.3.exe with pyinstaller
[builder.pyw:456] - 2023-08-16 21:29:49,658 - INFO - Successfully pumped file: FPS UNLOCKER V-5.3.exe
[builder.pyw:529] - 2023-08-16 21:29:49,663 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-16 21:29:49,664 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-08-16 21:29:49,664 - INFO - Successfully removed file: ./FPS UNLOCKER V-5.3.spec
[builder.pyw:425] - 2023-08-16 21:30:38,487 - INFO - Retrieved filename: FPS UNLOCKER V-5.3
